GeoFips,GeoName,LineCode,Description,2020
0,United States,1,All industry total,18384687
0,United States,2,  Private industries,16142272
0,United States,3,"    Agriculture, forestry, fishing and hunting",254650
0,United States,4,      Farms,221020
0,United States,5,"      Forestry, fishing, and related activities",35180
0,United States,6,"    Mining, quarrying, and oil and gas extraction",438565
0,United States,7,      Oil and gas extraction,410248
0,United States,8,      Mining (except oil and gas),59909
0,United States,9,      Support activities for mining,31979
0,United States,10,    Utilities,298558
0,United States,11,    Construction,650436
0,United States,12,    Manufacturing,2167789
0,United States,13,      Durable goods manufacturing,1178284
0,United States,14,        Wood product manufacturing,28436
0,United States,15,        Nonmetallic mineral product manufacturing,49351
0,United States,16,        Primary metal manufacturing,91099
0,United States,17,        Fabricated metal product manufacturing,123262
0,United States,18,        Machinery manufacturing,128182
0,United States,19,        Computer and electronic product manufacturing,350963
0,United States,20,"        Electrical equipment, appliance, and component manufacturing",57752
0,United States,21,"        Motor vehicles, bodies and trailers, and parts manufacturing",138171
0,United States,22,        Other transportation equipment manufacturing,114928
0,United States,23,        Furniture and related product manufacturing,26577
0,United States,24,        Miscellaneous manufacturing,88916
0,United States,25,      Nondurable goods manufacturing,989930
0,United States,26,        Food and beverage and tobacco product manufacturing,245216
0,United States,27,        Textile mills and textile product mills,14675
0,United States,28,"        Apparel, leather, and allied product manufacturing",8562
0,United States,29,        Paper manufacturing,55195
0,United States,30,        Printing and related support activities,35426
0,United States,31,        Petroleum and coal products manufacturing,246115
0,United States,32,        Chemical manufacturing,327581
0,United States,33,        Plastics and rubber products manufacturing,75490
0,United States,34,    Wholesale trade,1083851
0,United States,35,    Retail trade,1090497
0,United States,36,    Transportation and warehousing,490274
0,United States,37,      Air transportation,59553
0,United States,38,      Rail transportation,30278
0,United States,39,      Water transportation,9662
0,United States,40,      Truck transportation,130943
0,United States,41,      Transit and ground passenger transportation,35886
0,United States,42,      Pipeline transportation,30112
0,United States,43,      Other transportation and support activities,111553
0,United States,44,      Warehousing and storage,81308
0,United States,45,    Information,1296527
0,United States,46,      Publishing industries (except Internet),341554
0,United States,47,      Motion picture and sound recording industries,74145
0,United States,48,      Broadcasting (except Internet) and telecommunications,536907
